,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT,DEMARCACIO,,,
1,penthouse en renta con roof garden privado,39000,240,2,2,easyaviso,28:03.5,162.5,19.431105,-99.1614154,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148537.32661952)
2,moderno loft con terraza cerca del angel de la independencia,30000,134,NA,NA,easyaviso,28:03.5,223.880597,19.431741,-99.1652276,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148608.08165052)
3,departamento en rio panuco 118 cuauhtemoc,15000,50,NA,NA,easyaviso,28:03.5,300,19.4299652,-99.1688363,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148411.95080988)
4,renta departamento en reforma,21000,45,NA,NA,easyaviso,28:03.5,466.6666667,19.4296111,-99.163245,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148372.20262659)
5,depto en renta en rio poo col. cuauhtemoc,33000,85,2,2,easyaviso,28:03.5,388.2352941,19.4260615,-99.175263,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147980.66720028)
6,departamento en renta en la torre del hotel ritz carlton en reforma,117528,98,2,NA,easyaviso,28:03.5,1199.265306,19.4237735,-99.1753165,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147727.49810868)
7,departamento en renta a una calle del angel de la independencia.,41200,100,2,2,easyaviso,28:03.5,412,19.4270245,-99.1676647,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148086.4324087)
8,departamento en renta en cuauhtemoc  residencias st regis,65000,127,NA,NA,easyaviso,28:03.5,511.8110236,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
9,renta departamento cuauhtemoc amueblado,31000,44,NA,NA,easyaviso,28:03.5,704.5454545,19.4313622,-99.1691016,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148566.56088417)
10,renta departamento cuahutemoc amueblado,44000,74,2,2,easyaviso,28:03.5,594.5945946,19.4313622,-99.1691016,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148566.56088417)
11,departamento en renta  cuauhtemoc,28000,80,NA,2,easyaviso,28:03.5,350,19.4305058,-99.1678621,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148471.67005406)
12,departamentos en renta. col. renacimiento cuauhtemoc ao189,22000,45,NA,NA,easyaviso,28:03.5,488.8888889,19.425064,-99.1719251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147869.93741436)
13,renta de departamento en cuauhtemoc tabacalera  jb335,25000,60,NA,NA,easyaviso,28:03.5,416.6666667,19.4286386,-99.1718367,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148265.46955631)
14,departamento en renta a unos pasos de reforma,32000,75,2,2,easyaviso,28:03.5,426.6666667,19.4307978,-99.1648059,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148503.67099043)
15,departamento renta col. cuauhtemoc excelente ubicacion,27000,92,2,2,easyaviso,28:03.5,293.4782609,19.4311136,-99.1606185,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148538.20002815)
16,departamento en renta en paseo de la reforma st regis 1801,215468,271,3,3,easyaviso,28:03.5,795.0848708,19.4252897,-99.17226,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147894.94698695)
17,depa en renta cuauhtemoc  reforma a media cuadra,32000,105,2,2,easyaviso,28:03.5,304.7619048,19.4311072,-99.1614877,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148537.57717175)
18,departamento en renta en col. cuauhtemoc con o sin muebles,25900,80,NA,NA,easyaviso,28:03.5,323.75,19.4321889,-99.1656266,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148657.68352607)
19,departamento renta en ritz carlton reforma cuauhtemco,293820,280,2,2,easyaviso,28:03.5,1049.357143,19.4240425,-99.1757592,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147757.31120129)
20,departamento en venta o renta en ritz carlton residences reforma cuauhtemoc,55000,63,NA,NA,easyaviso,28:03.5,873.015873,19.4240425,-99.1757592,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147757.31120129)
21,departamento en renta  frente al angel de la independencia reforma,120000,460,4,3,easyaviso,28:03.5,260.8695652,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
22,departamento amplio y amueblado cuauhtemoc 120 m2,27000,120,2,3,easyaviso,28:03.5,225,19.4326933,-99.1634519,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148713.27897184)
23,departamento en renta rio panuco,35000,80,2,2,easyaviso,28:03.5,437.5,19.4298854,-99.1691796,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148403.15603477)
24,se renta departamento en paseo de la reforma cuauhtemoc. ch30,75000,170,2,NA,easyaviso,28:03.5,441.1764706,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
25,rento departamento en alcaldia cuauhtemoc cdmx,43000,90,2,2,easyaviso,28:03.5,477.7777778,19.4317498,-99.1652508,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148609.05773679)
26,hermoso ph en renta con roof garden privado,39000,200,2,2,easyaviso,28:03.5,195,19.431105,-99.1614154,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148537.32661952)
27,departamento amoblado en renta en colonia cuauhtemoc,36000,120,2,2,easyaviso,28:03.5,300,19.4264659,-99.1734568,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148025.22349457)
28,ciudad de mexico  cuauhtemoc  en renta  departamento  1 recamara,26500,83,NA,NA,easyaviso,28:03.5,319.2771084,19.4326932,-99.1619465,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148713.11860836)
29,renta departamento colonia cuauhtemoc amueblado y equipado,54000,96,2,2,easyaviso,28:03.5,562.5,19.4343378,-99.1653083,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148895.43447261)
30,renta departamento colonia cuauhtemoc amueblado y equipado,49000,74,2,2,easyaviso,28:03.5,662.1621622,19.4298484,-99.1691571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148399.05954069)
31,renta departamento colonia cuauhtemoc amueblado y equipado,39000,44,NA,NA,easyaviso,28:03.5,886.3636364,19.4298484,-99.1691571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148399.05954069)
32,exclusivo departamento exterior en excelente ubicacion,42000,173,3,3,easyaviso,28:03.5,242.7745665,19.4296572,-99.1705995,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148378.05196179)
33,renta departamento ph en edificio de estilo art deco.,34900,132,2,NA,easyaviso,28:03.5,264.3939394,19.4281566,-99.1740835,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148212.37147427)
34,excelente departamento en renta amueblado,16500,55,NA,NA,easyaviso,28:03.5,300,19.4289499,-99.1711628,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148299.84550812)
35,excelente departamento en renta en cuauhtemoc,16500,55,NA,NA,easyaviso,28:03.5,300,19.43039482,-99.17188885,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148459.80649364)
36,departamento amueblado en renta cuauhtemoc rio panuco,35000,110,2,3,easyaviso,28:03.5,318.1818182,19.42979955,-99.16935904,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148393.6746248)
37,departamento renta cuauhtemoc,28000,103,2,2,easyaviso,28:03.5,271.8446602,19.4319761,-99.1654727,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148634.12095939)
38,vive el lujo y confort de st regis mexico city,75000,NA,NA,NA,easyaviso,28:03.5,NA,19.4252897,-99.17226,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147894.94698695)
39,renta  departamento en  colonia cuauhtemoc sin muebles,35000,74,2,2,easyaviso,28:03.5,472.972973,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
40,departamento renta en col. cuauhtemoc  35m2,16000,35,NA,NA,easyaviso,28:03.5,457.1428571,19.4286776,-99.1693142,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148269.52280285)
41,departamento en renta en cuauhtemoc reforma,44000,100,2,2,easyaviso,28:03.5,440,19.428903,-99.1718807,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148294.73091209)
42,departamento en renta en cuauhtemoc amueblado m2d3359,38000,120,NA,2,easyaviso,28:03.5,316.6666667,19.4335534,-99.1708936,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148809.21028883)
43,renta de departamento en cuauhtemoc,39500,143,3,3,easyaviso,28:03.5,276.2237762,19.4271322,-99.1721413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148098.81328387)
44,renta de departamento en rio papaloapan cuauhtemoc lc352,26500,83,NA,NA,easyaviso,28:03.5,319.2771084,19.42931655,-99.16558435,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148339.84456017)
45,departamento en cuauhtemoc,55500,220,3,3,easyaviso,28:03.5,252.2727273,19.4311644,-99.1637565,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148544.13142958)
46,renta de departamento en cuauhtemoc cmdx,26000,76,2,2,easyaviso,28:03.5,342.1052632,19.4291322,-99.1701413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148319.91137189)
47,renta ph en cuauhtemoc con roof garden privado,42000,178,2,2,easyaviso,28:03.5,235.9550562,19.43197902,-99.16741984,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148634.64157224)
48,oficina en renta colonia cuauhtemoc kf243,82000,360,NA,NA,easyaviso,28:03.5,227.7777778,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
49,departamento en renta colonia cuauhtemoc  jb267,15000,60,NA,NA,easyaviso,28:03.5,250,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
50,departamento en renta col. cuauhtemoc  jb266,18500,75,NA,NA,easyaviso,28:03.5,246.6666667,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
51,renta de departamento en cuauhtemoc  con roof garden privado,42000,90,2,2,easyaviso,28:03.5,466.6666667,19.4310044,-99.1650972,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148526.56126004)
52,renta departamento amueblado en la cuauhtemoc con roof garden privado,52000,120,2,2,easyaviso,28:03.5,433.3333333,19.4331046,-99.1695287,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148759.40742344)
53,departamento en cuauhtemoc cuauhtemoc,20000,95,2,3,easyaviso,28:03.5,210.5263158,19.4306386,-99.1698367,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148486.5680359)
54,departamento amueblado en renta col. cuauhtemoc,35500,85,2,2,easyaviso,28:03.5,417.6470588,19.4321346,-99.1694294,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148652.06337516)
55,renta depa amueblado en cuauhtemoc,23000,56,NA,NA,easyaviso,28:03.5,410.7142857,19.4264848,-99.174877,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148027.46557815)
56,renta departamento amueblado,31000,50,NA,NA,easyaviso,28:03.5,620,19.432877,-99.1660317,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148733.8650614)
57,departamento en renta en cuauhtemoc,26000,103,2,2,easyaviso,28:03.5,252.4271845,19.4313309,-99.1700365,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148563.19406164)
58,renta departamentos amueblados a una cuadra de paseo de la reforma,30000,90,2,2,easyaviso,28:03.5,333.3333333,19.4298746,-99.1668303,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148401.72041778)
59,renta  venta departamento amueblado a unos pasos de reforma,56000,220,3,3,easyaviso,28:03.5,254.5454545,19.43145847,-99.16376452,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148576.67232603)
60,departamento en renta en cuauhtemoc,30000,80,2,2,easyaviso,28:03.5,375,19.43205366,-99.17049192,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148643.21765311)
61,renta departamento en villalongin,30000,80,2,2,easyaviso,28:03.5,375,19.4343734,-99.1694006,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148899.79123067)
62,departamento  amueblado en renta cuauhtemoc,54000,96,2,2,easyaviso,28:03.5,562.5,19.4333378,-99.1663083,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148784.88215775)
63,renta y estrena gran depto. t02 en la col. cuauhtemoc,24000,98,NA,2,easyaviso,28:03.5,244.8979592,19.4332371,-99.1646598,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148773.57306937)
64,departamento en renta en 38000.00 en cuauhtemoc,38000,120,2,2,easyaviso,28:03.5,316.6666667,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
65,increible suits en ritz  carlton reforma,60000,58,NA,NA,easyaviso,28:03.5,1034.482759,19.4273694,-99.1684647,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148124.67867557)
66,amueblado en col. cuauhtemoc cerca telmex 1 rec.,20000,50,NA,NA,easyaviso,28:03.5,400,19.434459,-99.1688251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148909.20383309)
67,renta de departamento amueblado en cuauhtemoc jpl165,31000,91,2,2,easyaviso,28:03.5,340.6593407,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
68,amuebladoen edificio pequeno con roof y calle tranquila,27000,70,NA,NA,easyaviso,28:03.5,385.7142857,19.431738,-99.1708389,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148608.32441266)
69,renta de departamento en cuauhtemoc reforma.  ct598,30000,98,2,3,easyaviso,28:03.5,306.122449,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
70,ph amoblado con terraza privada en reforma  60m2,17400,60,NA,NA,easyaviso,28:03.5,290,19.4269984,-99.1701674,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148083.80198322)
71,departamento ejecutivo en renta en reforma 127m2,85000,127,NA,NA,easyaviso,28:03.5,669.2913386,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
72,renta departamento en cuauhtemoc cdmx ch79,43000,90,2,2,easyaviso,28:03.5,477.7777778,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
73,departamento en renta en cuauhtemoc,38000,120,NA,2,easyaviso,28:03.5,316.6666667,19.4335862,-99.1698593,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148812.73229941)
74,st regis 2606 1 recamara amueblado,95000,NA,NA,NA,easyaviso,28:03.5,NA,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
75,renta y estrena gran depto. t05 en la col. cuauhtemoc,24000,97,2,2,easyaviso,28:03.5,247.4226804,19.4332371,-99.1646598,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148773.57306937)
76,departamento en renta cuauhtemoc,22500,71,NA,NA,easyaviso,28:03.5,316.9014085,19.4277443,-99.1730046,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148166.63498796)
77,departamento amueblado en renta colonia cuauhtemoc,35000,107,2,3,easyaviso,28:03.5,327.1028037,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
78,cuauhtemoc equipado y amueblado de lujo 3 recamaras,58000,130,2,3,easyaviso,28:03.5,446.1538462,19.4322204,-99.1659133,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148661.19807676)
79,renta de departamento amueblado en la colonia chuahutemoc,28500,80,NA,NA,easyaviso,28:03.5,356.25,19.4320033,-99.1659542,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148637.179367)
80,departamento 110m2 cuauhtemoc 3 recamaras con roof privado,39000,110,3,3,easyaviso,28:03.5,354.5454545,19.424059,-99.1772511,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147759.29743555)
81,hermoso departamento renta  cerca de reforma,30000,80,2,2,easyaviso,28:03.5,375,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
82,hermoso departamento en renta  cerca de reforma,58000,220,4,6,easyaviso,28:03.5,263.6363636,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
83,hermoso departamento renta  cerca de reforma  muy amplio,46000,170,4,4,easyaviso,28:03.5,270.5882353,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
84,hermoso departamento renta  cerca de reforma,44000,170,3,5,easyaviso,28:03.5,258.8235294,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
85,hermoso departamento renta rio tigris  super amplio,44000,170,3,5,easyaviso,28:03.5,258.8235294,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
86,loft amueblado y equipado en cuautemoc,20000,50,NA,NA,easyaviso,28:03.5,400,19.434459,-99.1688251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148909.20383309)
87,departamento en renta en cuauhtemoc 1 recamaras,25000,100,NA,NA,easyaviso,28:03.5,250,19.4304827,-99.1654,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148468.86390551)
88,exclusivo departamento en st. regis,70000,127,NA,NA,easyaviso,28:03.5,551.1811024,19.4303694,-99.1654647,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148456.33340508)
89,renta all vistas reforma 27000,27000,61,2,2,easyaviso,28:03.5,442.6229508,19.4286734,-99.1731812,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148269.461649)
90,departamento en renta en paseo de la reforma st regis 2007,137116,189,2,3,easyaviso,28:03.5,725.4814815,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
91,renta departamento amueblado,20000,NA,NA,2,easyaviso,28:03.5,NA,19.4334014,-99.1692644,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148792.22206061)
92,departamento con terraza amplia en la cuauhtemoc,30000,80,2,2,easyaviso,28:03.5,375,19.4308328,-99.1659954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148507.66377548)
93,departamento amueblado 4 recamaras en la cuauhtemoc,40000,170,4,4,easyaviso,28:03.5,235.2941176,19.4268328,-99.1699954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148065.45996498)
94,departamento amueblado en la cuauhtemoc  renta,57000,300,4,6,easyaviso,28:03.5,190,19.4308328,-99.1659954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148507.66377548)
95,departmento amueblado st regis 2006,97940,127,2,NA,easyaviso,28:03.5,771.1811024,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
96,departamento amoblado en renta  rio neva  cuauhtemoc,40000,110,2,2,easyaviso,28:03.5,363.6363636,19.4308192,-99.1619165,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148505.75127305)
