Unnamed: 0,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT,DEMARCACIO,Unnamed: 14,Unnamed: 15,Unnamed: 16
166,renta loft con terraza en san rafael,9500.0,40.0,,,easyaviso,28:03.5,237.5,19.4387443,-99.1661061,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149383.10937746)
3,departamento en rio panuco 118 cuauhtemoc,15000.0,50.0,,,easyaviso,28:03.5,300.0,19.4299652,-99.1688363,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148411.95080988)
49,departamento en renta colonia cuauhtemoc  jb267,15000.0,60.0,,,easyaviso,28:03.5,250.0,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
40,departamento renta en col. cuauhtemoc  35m2,16000.0,35.0,,,easyaviso,28:03.5,457.1428571,19.4286776,-99.1693142,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148269.52280285)
160,departamento en renta san rafael cuauhtemoc,16000.0,50.0,,,easyaviso,28:03.5,320.0,19.440858,-99.161761,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149616.56325577)
173,departamento en renta. veronica anzures  jb250,16500.0,30.0,,,easyaviso,28:03.5,550.0,19.436516,-99.1739857,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149137.35720501)
35,excelente departamento en renta en cuauhtemoc,16500.0,55.0,,,easyaviso,28:03.5,300.0,19.43039482,-99.17188885,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148459.80649364)
34,excelente departamento en renta amueblado,16500.0,55.0,,,easyaviso,28:03.5,300.0,19.4289499,-99.1711628,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148299.84550812)
70,ph amoblado con terraza privada en reforma  60m2,17400.0,60.0,,,easyaviso,28:03.5,290.0,19.4269984,-99.1701674,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148083.80198322)
169,se renta departamento totalmente amueblado a 2 cuadras de ejercito nacional,17500.0,69.0,,,easyaviso,28:03.5,253.6231884,19.4358671,-99.1741661,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149065.5733226)
168,renta departamento completamente amueblado en cdmx a 5 min de polanco,17500.0,52.0,,,easyaviso,28:03.5,336.5384615,19.4358671,-99.1741661,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149065.5733226)
50,departamento en renta col. cuauhtemoc  jb266,18500.0,75.0,,,easyaviso,28:03.5,246.6666667,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
109,suite ejecutiva 1 habitacion 1 auto. remodelado.,19500.0,57.0,,,easyaviso,28:03.5,342.1052632,19.42842016,-99.17026665,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148241.13488595)
86,loft amueblado y equipado en cuautemoc,20000.0,50.0,,,easyaviso,28:03.5,400.0,19.434459,-99.1688251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148909.20383309)
53,departamento en cuauhtemoc cuauhtemoc,20000.0,95.0,2.0,3.0,easyaviso,28:03.5,210.5263158,19.4306386,-99.1698367,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148486.5680359)
91,renta departamento amueblado,20000.0,,,2.0,easyaviso,28:03.5,,19.4334014,-99.1692644,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148792.22206061)
178,departamento en renta  en marina nacional,20000.0,76.0,2.0,2.0,easyaviso,28:03.5,263.1578947,19.4395477,-99.1772318,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149473.17293378)
66,amueblado en col. cuauhtemoc cerca telmex 1 rec.,20000.0,50.0,,,easyaviso,28:03.5,400.0,19.434459,-99.1688251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148909.20383309)
4,renta departamento en reforma,21000.0,45.0,,,easyaviso,28:03.5,466.6666667,19.4296111,-99.163245,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148372.20262659)
177,renta loft  parque polanco,21000.0,45.0,,,easyaviso,28:03.5,466.6666667,19.4394957,-99.1825836,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149468.00602856)
162,departamento en renta con roof garden privado  col san rafael,21200.0,68.0,,2.0,easyaviso,28:03.5,311.7647059,19.43724442,-99.16183591,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149216.71530288)
183,renta de departamento  col. anahuac,22000.0,74.0,2.0,2.0,easyaviso,28:03.5,297.2972973,19.4395477,-99.1772318,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149473.17293378)
165,departamento en cuauhtemoc,22000.0,100.0,2.0,3.0,easyaviso,28:03.5,220.0,19.4364982,-99.1657027,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149134.52988938)
147,se renta departamento en una excelente ubicacion,22000.0,80.0,,2.0,easyaviso,28:03.5,275.0,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
12,departamentos en renta. col. renacimiento cuauhtemoc ao189,22000.0,45.0,,,easyaviso,28:03.5,488.8888889,19.425064,-99.1719251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147869.93741436)
76,departamento en renta cuauhtemoc,22500.0,71.0,,,easyaviso,28:03.5,316.9014085,19.4277443,-99.1730046,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148166.63498796)
104,rio misisipi cuauhtemoc,22500.0,71.0,,,easyaviso,28:03.5,316.9014085,19.4277443,-99.1730046,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148166.63498796)
129,espectacular departamento amueblado,23000.0,83.0,,2.0,easyaviso,28:03.5,277.1084337,19.4283528,-99.1696612,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148233.61844063)
161,renta departamento col. san rafael,23000.0,85.0,,2.0,easyaviso,28:03.5,270.5882353,19.4406502,-99.1654783,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149593.9403445)
114,venta departamento en col.cuauhtemoc,23000.0,114.0,,2.0,easyaviso,28:03.5,201.754386,19.4315806,-99.1635116,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148590.160928)
55,renta depa amueblado en cuauhtemoc,23000.0,56.0,,,easyaviso,28:03.5,410.7142857,19.4264848,-99.174877,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148027.46557815)
63,renta y estrena gran depto. t02 en la col. cuauhtemoc,24000.0,98.0,,2.0,easyaviso,28:03.5,244.8979592,19.4332371,-99.1646598,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148773.57306937)
75,renta y estrena gran depto. t05 en la col. cuauhtemoc,24000.0,97.0,2.0,2.0,easyaviso,28:03.5,247.4226804,19.4332371,-99.1646598,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148773.57306937)
181,departamento amueblado en be grand alto polanco  linda vista,24000.0,60.0,,,easyaviso,28:03.5,400.0,19.4395976,-99.1825289,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149479.27553517)
139,renta y estrena depto. t03  exterior donde en col. cuauhtemoc,24200.0,76.0,,2.0,easyaviso,28:03.5,318.4210526,19.4332371,-99.1646598,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148773.57306937)
163,renta departamento san rafael cuauhtemoc,24500.0,85.0,,2.0,easyaviso,28:03.5,288.2352941,19.4406502,-99.1654783,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149593.9403445)
13,renta de departamento en cuauhtemoc tabacalera  jb335,25000.0,60.0,,,easyaviso,28:03.5,416.6666667,19.4286386,-99.1718367,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148265.46955631)
87,departamento en renta en cuauhtemoc 1 recamaras,25000.0,100.0,,,easyaviso,28:03.5,250.0,19.4304827,-99.1654,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148468.86390551)
97,renta departamento col. cuauhtemoc.,25000.0,88.0,2.0,2.0,easyaviso,28:03.5,284.0909091,19.4258936,-99.1758183,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147962.14790612)
18,departamento en renta en col. cuauhtemoc con o sin muebles,25900.0,80.0,,,easyaviso,28:03.5,323.75,19.4321889,-99.1656266,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148657.68352607)
192,loft amueblado en renta be grand polanco,26000.0,50.0,,,easyaviso,28:03.5,520.0,19.4397667,-99.1823246,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149497.96432327)
175,departamento en renta. veronica anzures miguel hidalgo lc328,26000.0,81.0,,2.0,easyaviso,28:03.5,320.9876543,19.4373402,-99.180431,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149229.25414809)
46,renta de departamento en cuauhtemoc cmdx,26000.0,76.0,2.0,2.0,easyaviso,28:03.5,342.1052632,19.4291322,-99.1701413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148319.91137189)
57,departamento en renta en cuauhtemoc,26000.0,103.0,2.0,2.0,easyaviso,28:03.5,252.4271845,19.4313309,-99.1700365,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148563.19406164)
44,renta de departamento en rio papaloapan cuauhtemoc lc352,26500.0,83.0,,,easyaviso,28:03.5,319.2771084,19.42931655,-99.16558435,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148339.84456017)
28,ciudad de mexico  cuauhtemoc  en renta  departamento  1 recamara,26500.0,83.0,,,easyaviso,28:03.5,319.2771084,19.4326932,-99.1619465,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148713.11860836)
167,renta,26500.0,50.0,,,easyaviso,28:03.5,530.0,19.4382903,-99.1780304,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149334.12370923)
172,departemento  en renta  cuauhtemoc,27000.0,61.0,2.0,2.0,easyaviso,28:03.5,442.6229508,19.4364703,-99.1704069,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149131.92463453)
68,amuebladoen edificio pequeno con roof y calle tranquila,27000.0,70.0,,,easyaviso,28:03.5,385.7142857,19.431738,-99.1708389,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148608.32441266)
120,renta de bonito departamento a dos cuadras del angel,27000.0,70.0,,2.0,easyaviso,28:03.5,385.7142857,19.4299345,-99.1687166,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148408.54143863)
89,renta all vistas reforma 27000,27000.0,61.0,2.0,2.0,easyaviso,28:03.5,442.6229508,19.4286734,-99.1731812,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148269.461649)
106,renta departamento la colonia cuauhtemoc,27000.0,92.5,,2.0,easyaviso,28:03.5,291.8918919,19.4310153,-99.1639727,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148527.65460909)
22,departamento amplio y amueblado cuauhtemoc 120 m2,27000.0,120.0,2.0,3.0,easyaviso,28:03.5,225.0,19.4326933,-99.1634519,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148713.27897184)
15,departamento renta col. cuauhtemoc excelente ubicacion,27000.0,92.0,2.0,2.0,easyaviso,28:03.5,293.4782609,19.4311136,-99.1606185,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148538.20002815)
133,iv departamento en renta cuauhtemoc melchor ocampo,27500.0,70.9,,,easyaviso,28:03.5,387.8702398,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
37,departamento renta cuauhtemoc,28000.0,103.0,2.0,2.0,easyaviso,28:03.5,271.8446602,19.4319761,-99.1654727,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148634.12095939)
140,departamento 77m2 con balcon 2 recamaras en cuauhtemoc preventa,28000.0,77.2,2.0,2.0,easyaviso,28:03.5,362.6943005,19.4341434,-99.1693631,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148874.33707404)
149,depa en reforma a un precio increible,28000.0,85.0,2.0,2.0,easyaviso,28:03.5,329.4117647,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
11,departamento en renta  cuauhtemoc,28000.0,80.0,,2.0,easyaviso,28:03.5,350.0,19.4305058,-99.1678621,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148471.67005406)
118,renta de  departamento en rio hudson cuauhtemoc,28000.0,50.0,,2.0,easyaviso,28:03.5,560.0,19.4270948,-99.1751115,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148094.98912672)
187,estupendo depto se renta en be grand alto polanco torre 1,28500.0,,2.0,2.0,easyaviso,28:03.5,,19.4394957,-99.1825836,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149468.00602856)
79,renta de departamento amueblado en la colonia chuahutemoc,28500.0,80.0,,,easyaviso,28:03.5,356.25,19.4320033,-99.1659542,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148637.179367)
188,renta departamento semiamueblado skyview polanco 2 recamaras,28500.0,96.0,2.0,2.0,easyaviso,28:03.5,296.875,19.43703132,-99.18061096,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149195.09511332)
116,renta departamento colonia cuauhtemoc,29000.0,155.0,2.0,2.0,easyaviso,28:03.5,187.0967742,19.4319954,-99.1659839,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148636.30820999)
176,renta amplio departamento en parques plaza colonia anahuac,29000.0,87.0,2.0,2.0,easyaviso,28:03.5,333.3333333,19.4386432,-99.1782273,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149373.1947151)
119,departamento en cuauhtemoc,29000.0,68.0,,,easyaviso,28:03.5,426.4705882,19.4286455,-99.1699945,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148266.04117123)
174,departamento en renta veronica anzures marina nacional,29500.0,82.0,2.0,2.0,easyaviso,28:03.5,359.7560976,19.4376516,-99.1724718,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149262.85538897)
182,renta departamento en be grand alto polanco.,29500.0,96.0,2.0,2.0,easyaviso,28:03.5,307.2916667,19.43986005,-99.18337018,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149508.41011639)
69,renta de departamento en cuauhtemoc reforma.  ct598,30000.0,98.0,2.0,3.0,easyaviso,28:03.5,306.122449,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
143,departamento en renta 60m2 en cuauhtemoc,30000.0,60.0,2.0,2.0,easyaviso,28:03.5,500.0,19.4278328,-99.1689954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148176.00999852)
122,departamento en renta en cdmx con gran vista a la ciudad,30000.0,80.0,2.0,2.0,easyaviso,28:03.5,375.0,19.4319434,-99.1678492,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148630.74401518)
81,hermoso departamento renta  cerca de reforma,30000.0,80.0,2.0,2.0,easyaviso,28:03.5,375.0,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
60,departamento en renta en cuauhtemoc,30000.0,80.0,2.0,2.0,easyaviso,28:03.5,375.0,19.43205366,-99.17049192,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148643.21765311)
61,renta departamento en villalongin,30000.0,80.0,2.0,2.0,easyaviso,28:03.5,375.0,19.4343734,-99.1694006,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148899.79123067)
2,moderno loft con terraza cerca del angel de la independencia,30000.0,134.0,,,easyaviso,28:03.5,223.880597,19.431741,-99.1652276,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148608.08165052)
58,renta departamentos amueblados a una cuadra de paseo de la reforma,30000.0,90.0,2.0,2.0,easyaviso,28:03.5,333.3333333,19.4298746,-99.1668303,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148401.72041778)
92,departamento con terraza amplia en la cuauhtemoc,30000.0,80.0,2.0,2.0,easyaviso,28:03.5,375.0,19.4308328,-99.1659954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148507.66377548)
121,renta departamento cuauhtemoc,31000.0,44.0,,,easyaviso,28:03.5,704.5454545,19.4328484,-99.1661571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148730.71307092)
9,renta departamento cuauhtemoc amueblado,31000.0,44.0,,,easyaviso,28:03.5,704.5454545,19.4313622,-99.1691016,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148566.56088417)
164,departamento 44m2 amueblado de 1 recamara con servicios incluidos en cuauhtemoc,31000.0,44.0,,,easyaviso,28:03.5,704.5454545,19.435877,-99.1630317,SAN RAFAEL II,15-074,CUAUHTEMOC,,, 2149065.52433664)
56,renta departamento amueblado,31000.0,50.0,,,easyaviso,28:03.5,620.0,19.432877,-99.1660317,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148733.8650614)
67,renta de departamento amueblado en cuauhtemoc jpl165,31000.0,91.0,2.0,2.0,easyaviso,28:03.5,340.6593407,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
193,departamento en renta parques plaza anahuac nuevo polanco miguel hidalgo,31163.0,85.0,2.0,2.0,easyaviso,28:03.5,366.6235294,19.4373482,-99.1803201,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149230.12718017)
186,departamento renta be grand polanco anahuac miguel hidalgo,31500.0,97.0,2.0,2.0,easyaviso,28:03.5,324.742268,19.4394957,-99.1825836,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149468.00602856)
14,departamento en renta a unos pasos de reforma,32000.0,75.0,2.0,2.0,easyaviso,28:03.5,426.6666667,19.4307978,-99.1648059,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148503.67099043)
17,depa en renta cuauhtemoc  reforma a media cuadra,32000.0,105.0,2.0,2.0,easyaviso,28:03.5,304.7619048,19.4311072,-99.1614877,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148537.57717175)
